participation_id,user_id,team,medal,abs_score,full_name,task_name,contest_id,last_submission_ts,consecutive_submission_count,time_spent_for_the_task
29,15,RUS,1,414.75,Aleksandr Morozov,line,1,2019-08-08 10:33:26.677285,13,00:57:14.381071
27,16,RUS,1,419.3,Egor Lifar,split,2,2019-08-06 05:28:15.315711,5,00:28:15.315711
27,16,RUS,1,419.3,Egor Lifar,rect,2,2019-08-06 07:01:45.079742,9,01:33:29.764031
27,16,RUS,1,419.3,Egor Lifar,shoes,2,2019-08-06 08:08:45.223539,8,01:07:00.143797
27,16,RUS,1,419.3,Egor Lifar,split,2,2019-08-06 08:14:42.054587,2,00:05:56.831048
27,16,RUS,1,419.3,Egor Lifar,shoes,2,2019-08-06 09:50:56.819678,40,01:36:14.765091
30,16,RUS,1,419.3,Egor Lifar,vision,1,2019-08-08 06:10:47.39666,5,00:50:47.39666
30,16,RUS,1,419.3,Egor Lifar,walk,1,2019-08-08 07:07:35.58324,6,00:56:48.18658
30,16,RUS,1,419.3,Egor Lifar,vision,1,2019-08-08 07:09:53.495998,1,00:02:17.912758
30,16,RUS,1,419.3,Egor Lifar,walk,1,2019-08-08 07:15:59.244769,5,00:06:05.748771
30,16,RUS,1,419.3,Egor Lifar,line,1,2019-08-08 08:29:18.753902,7,01:13:19.509133
30,16,RUS,1,419.3,Egor Lifar,vision,1,2019-08-08 08:53:06.627444,5,00:23:47.873542
30,16,RUS,1,419.3,Egor Lifar,line,1,2019-08-08 09:56:23.895,13,01:03:17.267556
30,16,RUS,1,419.3,Egor Lifar,vision,1,2019-08-08 10:04:02.259028,3,00:07:38.364028
30,16,RUS,1,419.3,Egor Lifar,line,1,2019-08-08 10:04:19.769113,1,00:00:17.510085
30,16,RUS,1,419.3,Egor Lifar,vision,1,2019-08-08 10:06:27.525209,1,00:02:07.756096
30,16,RUS,1,419.3,Egor Lifar,line,1,2019-08-08 10:08:29.495238,1,00:02:01.970029
30,16,RUS,1,419.3,Egor Lifar,vision,1,2019-08-08 10:15:24.294789,1,00:06:54.799551
30,16,RUS,1,419.3,Egor Lifar,line,1,2019-08-08 10:16:40.171687,1,00:01:15.876898
30,16,RUS,1,419.3,Egor Lifar,vision,1,2019-08-08 10:19:59.677413,4,00:03:19.505726
30,16,RUS,1,419.3,Egor Lifar,line,1,2019-08-08 10:20:14.066633,1,00:00:14.38922
30,16,RUS,1,419.3,Egor Lifar,vision,1,2019-08-08 10:25:59.8904,6,00:05:45.823767
30,16,RUS,1,419.3,Egor Lifar,line,1,2019-08-08 10:33:17.086581,2,00:07:17.196181
31,17,MEX,3,262.22,Sebastian Sánchez Lara,rect,2,2019-08-06 06:19:25.352629,5,01:19:25.352629
31,17,MEX,3,262.22,Sebastian Sánchez Lara,shoes,2,2019-08-06 06:28:51.370202,1,00:09:26.017573
31,17,MEX,3,262.22,Sebastian Sánchez Lara,rect,2,2019-08-06 06:37:46.239289,1,00:08:54.869087
31,17,MEX,3,262.22,Sebastian Sánchez Lara,shoes,2,2019-08-06 07:10:30.632636,8,00:32:44.393347
31,17,MEX,3,262.22,Sebastian Sánchez Lara,split,2,2019-08-06 07:56:10.657845,4,00:45:40.025209
31,17,MEX,3,262.22,Sebastian Sánchez Lara,shoes,2,2019-08-06 08:10:25.690619,2,00:14:15.032774
31,17,MEX,3,262.22,Sebastian Sánchez Lara,split,2,2019-08-06 08:12:30.129799,1,00:02:04.43918
31,17,MEX,3,262.22,Sebastian Sánchez Lara,shoes,2,2019-08-06 08:29:47.234071,1,00:17:17.104272
31,17,MEX,3,262.22,Sebastian Sánchez Lara,split,2,2019-08-06 08:59:45.102849,3,00:29:57.868778
32,17,MEX,3,262.22,Sebastian Sánchez Lara,vision,1,2019-08-08 08:06:04.000248,6,02:46:04.000248
32,17,MEX,3,262.22,Sebastian Sánchez Lara,line,1,2019-08-08 10:24:52.433048,8,02:18:48.4328
33,18,MEX,3,283.15,Héctor Fernando Ricárdez Lara,shoes,2,2019-08-06 06:03:26.932921,1,01:03:26.932921
33,18,MEX,3,283.15,Héctor Fernando Ricárdez Lara,rect,2,2019-08-06 08:18:33.417406,10,02:15:06.484485
33,18,MEX,3,283.15,Héctor Fernando Ricárdez Lara,shoes,2,2019-08-06 08:38:58.624266,1,00:20:25.20686
33,18,MEX,3,283.15,Héctor Fernando Ricárdez Lara,split,2,2019-08-06 08:48:44.58828,1,00:09:45.964014
33,18,MEX,3,283.15,Héctor Fernando Ricárdez Lara,shoes,2,2019-08-06 09:14:46.509612,3,00:26:01.921332
33,18,MEX,3,283.15,Héctor Fernando Ricárdez Lara,rect,2,2019-08-06 09:58:34.945975,7,00:43:48.436363
36,18,MEX,3,283.15,Héctor Fernando Ricárdez Lara,line,1,2019-08-08 06:10:29.400263,2,00:50:29.400263
36,18,MEX,3,283.15,Héctor Fernando Ricárdez Lara,vision,1,2019-08-08 06:34:40.693121,1,00:24:11.292858
36,18,MEX,3,283.15,Héctor Fernando Ricárdez Lara,line,1,2019-08-08 06:42:37.92096,3,00:07:57.227839
36,18,MEX,3,283.15,Héctor Fernando Ricárdez Lara,vision,1,2019-08-08 07:45:28.598548,8,01:02:50.677588
36,18,MEX,3,283.15,Héctor Fernando Ricárdez Lara,line,1,2019-08-08 09:10:08.955105,7,01:24:40.356557
36,18,MEX,3,283.15,Héctor Fernando Ricárdez Lara,walk,1,2019-08-08 09:45:14.241936,4,00:35:05.286831
36,18,MEX,3,283.15,Héctor Fernando Ricárdez Lara,vision,1,2019-08-08 09:48:47.803539,1,00:03:33.561603
36,18,MEX,3,283.15,Héctor Fernando Ricárdez Lara,line,1,2019-08-08 10:05:29.924515,1,00:16:42.120976
36,18,MEX,3,283.15,Héctor Fernando Ricárdez Lara,walk,1,2019-08-08 10:33:47.97645,6,00:28:18.051935
34,19,,,,,shoes,2,2019-08-06 07:03:30.765278,8,02:03:30.765278
34,19,,,,,split,2,2019-08-06 08:26:13.818202,6,01:22:43.052924
34,19,,,,,rect,2,2019-08-06 09:18:02.091358,4,00:51:48.273156
34,19,,,,,split,2,2019-08-06 09:31:23.58894,1,00:13:21.497582
34,19,,,,,shoes,2,2019-08-06 09:59:40.93313,1,00:28:17.34419
37,19,,,,,walk,1,2019-08-08 07:28:14.797377,4,02:08:14.797377
37,19,,,,,line,1,2019-08-08 08:12:07.604971,2,00:43:52.807594
37,19,,,,,vision,1,2019-08-08 09:51:27.984587,8,01:39:20.379616
37,19,,,,,walk,1,2019-08-08 10:33:08.562894,2,00:41:40.578307
35,20,,,,,shoes,2,2019-08-06 05:47:25.848853,2,00:47:25.848853
35,20,,,,,rect,2,2019-08-06 07:05:33.081122,6,01:18:07.232269
35,20,,,,,split,2,2019-08-06 07:13:26.292407,2,00:07:53.211285
35,20,,,,,rect,2,2019-08-06 07:27:09.58906,2,00:13:43.296653
35,20,,,,,split,2,2019-08-06 08:25:27.36382,5,00:58:17.77476
35,20,,,,,shoes,2,2019-08-06 09:41:27.178693,6,01:15:59.814873
35,20,,,,,rect,2,2019-08-06 09:59:26.187886,4,00:17:59.009193
38,20,,,,,line,1,2019-08-08 07:41:37.862262,7,02:21:37.862262
38,20,,,,,vision,1,2019-08-08 09:24:51.043736,12,01:43:13.181474
38,20,,,,,walk,1,2019-08-08 10:33:30.80721,1,01:08:39.763474
39,21,,,,,shoes,2,2019-08-06 05:16:55.239105,3,00:16:55.239105
39,21,,,,,rect,2,2019-08-06 05:18:37.799314,1,00:01:42.560209
39,21,,,,,shoes,2,2019-08-06 05:22:04.47865,1,00:03:26.679336
39,21,,,,,split,2,2019-08-06 06:21:23.759572,3,00:59:19.280922
39,21,,,,,shoes,2,2019-08-06 08:00:04.20362,9,01:38:40.444048
39,21,,,,,split,2,2019-08-06 08:35:25.31096,2,00:35:21.10734
39,21,,,,,rect,2,2019-08-06 09:56:18.794315,9,01:20:53.483355
40,21,,,,,vision,1,2019-08-08 07:23:51.637428,8,02:03:51.637428
40,21,,,,,line,1,2019-08-08 07:57:16.496445,3,00:33:24.859017
40,21,,,,,vision,1,2019-08-08 09:51:02.298385,2,01:53:45.80194
41,22,,,,,shoes,2,2019-08-06 06:09:03.83013,4,01:09:03.83013
41,22,,,,,split,2,2019-08-06 07:39:21.684294,5,01:30:17.854164
41,22,,,,,rect,2,2019-08-06 08:38:15.474459,5,00:58:53.790165
41,22,,,,,shoes,2,2019-08-06 09:31:39.654034,6,00:53:24.179575
41,22,,,,,split,2,2019-08-06 09:58:48.851565,2,00:27:09.197531
44,22,,,,,vision,1,2019-08-08 07:16:06.146793,11,01:56:06.146793
44,22,,,,,line,1,2019-08-08 08:37:28.560718,4,01:21:22.413925
44,22,,,,,vision,1,2019-08-08 10:08:25.870531,4,01:30:57.309813
44,22,,,,,line,1,2019-08-08 10:32:17.444071,9,00:23:51.57354
43,24,,,,,split,2,2019-08-06 05:38:40.348482,3,00:38:40.348482
43,24,,,,,shoes,2,2019-08-06 06:32:28.394231,5,00:53:48.045749
43,24,,,,,split,2,2019-08-06 07:32:11.473966,4,00:59:43.079735
43,24,,,,,rect,2,2019-08-06 08:09:33.205959,2,00:37:21.731993
43,24,,,,,shoes,2,2019-08-06 08:56:29.60655,1,00:46:56.400591
43,24,,,,,split,2,2019-08-06 09:36:23.544778,5,00:39:53.938228
45,24,,,,,walk,1,2019-08-08 05:52:28.431826,1,00:32:28.431826
45,24,,,,,vision,1,2019-08-08 08:35:12.773045,10,02:42:44.341219
45,24,,,,,walk,1,2019-08-08 09:01:45.387399,2,00:26:32.614354
45,24,,,,,line,1,2019-08-08 09:29:31.439436,2,00:27:46.052037
45,24,,,,,walk,1,2019-08-08 10:23:14.375884,8,00:53:42.936448
45,24,,,,,line,1,2019-08-08 10:31:38.839776,2,00:08:24.463892
47,25,IDN,1,435.43,Abdul Malik Nurrokhman,rect,2,2019-08-06 05:18:51.869498,1,00:18:51.869498
47,25,IDN,1,435.43,Abdul Malik Nurrokhman,shoes,2,2019-08-06 05:26:46.141032,1,00:07:54.271534
47,25,IDN,1,435.43,Abdul Malik Nurrokhman,split,2,2019-08-06 05:42:14.932802,1,00:15:28.79177
47,25,IDN,1,435.43,Abdul Malik Nurrokhman,rect,2,2019-08-06 06:03:05.4908,1,00:20:50.557998
